File Name,Effort,Manhattan H,Learned H
03x03_board_990.csv,83,10,23.005545
03x03_board_673.csv,73,10,23.643358
03x03_board_292.csv,72,8,20.706062
03x03_board_520.csv,55,10,22.41767
03x03_board_414.csv,66,10,22.25347
03x03_board_968.csv,86,10,22.303406
03x03_board_724.csv,54,8,20.377668
03x03_board_329.csv,39,6,20.509966
03x03_board_181.csv,36,8,20.541864
03x03_board_470.csv,90,10,22.41767
03x03_board_197.csv,7,2,12.577344
03x03_board_909.csv,39,6,18.780325
03x03_board_487.csv,46,10,22.528898
03x03_board_959.csv,57,8,19.625595
03x03_board_975.csv,47,10,23.70465
03x03_board_880.csv,0,0,8.887976
03x03_board_188.csv,17,4,17.408476
03x03_board_509.csv,36,8,21.881815
03x03_board_527.csv,25,6,18.780325
03x03_board_816.csv,57,8,20.491932
